клавиши_EN	чтение_RU	чтение_EN	тип_RU	тип_EN	комментарий
here	руку	here	слово	слово	руку — форма слова рука; here — здесь [A оба слова]
her	рук	her	слово	слово	рук — форма слова руки; her — ее [A оба слова]
keys	луны	keys	слово	слово	луны — форма слова луна; keys — ключи [A оба слова]
tim	ешь	Tim	слово	имя	ешь — форма глагола есть; Tim — имя Тим [A оба слова]
eat	Уфе	eat	имя	слово	Уфе — форма названия Уфа; eat — есть [A оба слова]
abu	фиг	Abu	слово	имя	фиг — форма слова фига; Abu — имя Абу [A оба слова]
bob	ищи	Bob	слово	имя	ищи — повелительная форма искать; Bob — имя Боб [A оба слова]
herb	руки	herb	слово	слово	руки — форма слова рука; herb — трава [A оба слова]
eds	увы	EDS	слово	сокращение	увы — междометие увы; EDS — синдром Элерса Данлоса [A оба слова]
verb	муки	verb	слово	слово	муки — форма слова мука; verb — глагол [A оба слова]
dept	вузе	dept	слово	сокращение	вузе — форма слова вуз; dept — department [A оба слова]
eve	уму	Eve	слово	имя	уму — форма слова ум; Eve — имя Eve [A оба слова]
ids	швы	IDS	слово	сокращение	швы — множественное слова шов; IDS — обнаружение вторжений [A оба слова]
ver	мук	ver	слово	сокращение	мук — форма слова мука; ver — version [A оба слова]
key	лун	key	слово	слово	лун — форма слова луна; key — ключ [A оба слова]
rev	кум	Rev	слово	сокращение	кум — крестный отец; Rev — преподобный [A оба слова]
lei	душ	lei	слово	код	душ — форма слова душа; lei — румынская валюта [A оба слова]
tot	еще	tot	слово	слово	еще — наречие еще; tot — малыш [A оба слова]
lev	дум	Lev	слово	имя	дум — форма слова дума; Lev — имя Лев [A оба слова]
gen	пут	gen	слово	сокращение	пут — форма слова путы; gen — поколение [A оба слова]
rei	куш	REI	слово	имя	куш — выигрыш куш; REI — магазин REI [A оба слова]
ita	шеф	ITA	слово	код	шеф — руководитель шеф; ITA — авиакомпания ITA [A оба слова]
boe	ищу	BOE	слово	сокращение	ищу — форма глагола искать; BOE — Банк Англии [A оба слова]
cath	сфер	Cath	слово	имя	сфер — форма слова сфера; Cath — имя Cath [A оба слова]
ult	где	ult	слово	сокращение	где — наречие где; ult — ultimate ability [A оба слова]
leif	душа	Leif	слово	имя	душа — душа; Leif — имя Leif [A оба слова]
cif	США	CIF	сокращение	код	США — Соединенные Штаты Америки; CIF — условие поставки CIF [A оба слова]
kerb	луки	kerb	слово	слово	луки — множественное слова лук; kerb — бордюр [A оба слова]
end	утв	end	сокращение	слово	утв — утверждено; end — конец [A оба слова]
ctr	сек	CTR	сокращение	сокращение	сек — секунда; CTR — кликабельность CTR [A оба слова]
fps	азы	FPS	слово	сокращение	азы — основы азы; FPS — кадры в секунду [A оба слова]
bim	ишь	BIM	слово	сокращение	ишь — междометие ишь; BIM — информационная модель здания [A оба слова]
rex	куч	Rex	слово	имя	куч — форма слова куча; Rex — имя Rex [A оба слова]
dep	вуз	dep	слово	сокращение	вуз — высшее учебное заведение; dep — department [A оба слова]
ha	РФ	HA	сокращение	сокращение	РФ — Российская Федерация; HA — Home Assistant [B сокращение]
nl	ТД	NL	сокращение	код	ТД — торговый дом; NL — Нидерланды [B сокращение]
fr	АК	FR	сокращение	код	АК — автомат Калашникова; FR — Франция [A оба слова]
he	РУ	he	сокращение	слово	РУ — русский сегмент; he — он [A оба слова]
