клавиши_EN	чтение_RU	чтение_EN	тип_RU	тип_EN	комментарий
vs	мы	vs	слово	слово	перебор словарей; n=651287/21468
lt	де	lt	слово	слово	перебор словарей; n=22277/12880
kb	ли	kb	слово	слово	перебор словарей; n=168550/10712
here	руку	here	слово	слово	перебор словарей; n=9345/397188
ne	ту	ne	слово	слово	перебор словарей; n=16248/7367
ha	рф	ha	слово	слово	перебор словарей; n=7257/13565
jr	ок	jr	слово	слово	перебор словарей; n=7145/13325
ns	ты	ns	слово	слово	перебор словарей; n=791985/6349
ah	фр	ah	слово	слово	перебор словарей; n=6058/14263
nt	те	nt	слово	слово	перебор словарей; n=37341/5662
dj	во	dj	слово	слово	перебор словарей; n=220546/5408
her	рук	her	слово	слово	перебор словарей; n=4654/679749
cd	св	cd	слово	слово	перебор словарей; n=4209/32544
ds	вы	ds	слово	слово	перебор словарей; n=605886/4205
nd	тв	nd	слово	слово	перебор словарей; n=4101/29070
lb	ди	lb	слово	слово	перебор словарей; n=4097/8992
fr	ак	fr	слово	слово	перебор словарей; n=3748/9979
lf	да	lf	слово	слово	перебор словарей; n=223194/3523
ye	ну	ye	слово	слово	перебор словарей; n=143277/3290
nm	ть	nm	слово	слово	перебор словарей; n=3160/3229
ce	су	ce	слово	слово	перебор словарей; n=3093/6298
dc	вс	dc	слово	слово	перебор словарей; n=2701/19368
gr	пк	gr	слово	слово	перебор словарей; n=2584/4732
nb	ти	nb	слово	слово	перебор словарей; n=6034/2458
fl	ад	fl	слово	слово	перебор словарей; n=3326/2431
he	ру	he	слово	слово	перебор словарей; n=2342/1474795
tc	ес	tc	слово	слово	перебор словарей; n=16335/2150
ct	се	ct	слово	слово	перебор словарей; n=2009/2351
fc	ас	fc	слово	слово	перебор словарей; n=2004/20032
eds	увы	eds	слово	слово	перебор словарей; n=1994/3698
tim	ешь	tim	слово	слово	перебор словарей; n=1908/6973
cc	сс	cc	слово	слово	перебор словарей; n=1885/10048
bb	ии	bb	слово	слово	перебор словарей; n=1877/3287
dd	вв	dd	слово	слово	перебор словарей; n=1864/8081
