клавиши_EN	чтение_RU	чтение_EN	тип_RU	тип_EN	комментарий
here	руку	here	слово	слово	руку — форма слова рука; here — здесь
her	рук	her	слово	слово	рук — форма слова руки; her — ее
keys	луны	keys	слово	слово	луны — форма слова луна; keys — ключи
tim	ешь	Tim	слово	имя	ешь — форма глагола есть; Tim — имя Тим
eat	Уфе	eat	имя	слово	Уфе — форма названия Уфа; eat — есть
abu	фиг	Abu	слово	имя	фиг — форма слова фига; Abu — имя Абу
bob	ищи	Bob	слово	имя	ищи — повелительная форма искать; Bob — имя Боб
herb	руки	herb	слово	слово	руки — форма слова рука; herb — трава
eds	увы	EDS	слово	сокращение	увы — междометие увы; EDS — синдром Элерса Данлоса
verb	муки	verb	слово	слово	муки — форма слова мука; verb — глагол
afc	ФАС	AFC	сокращение	сокращение	ФАС — Федеральная антимонопольная служба; AFC — футбольная конференция AFC
rey	кун	Rey	слово	имя	кун — обращение кун; Rey — имя Рей
dept	вузе	dept	слово	сокращение	вузе — форма слова вуз; dept — department
eve	уму	Eve	слово	имя	уму — форма слова ум; Eve — имя Eve
far	АФК	far	сокращение	слово	АФК — отошел от клавиатуры; far — далеко
ltd	дев	Ltd	слово	сокращение	дев — разработчики девы; Ltd — limited company
ids	швы	IDS	слово	сокращение	швы — множественное слова шов; IDS — обнаружение вторжений
eps	узы	EPS	слово	сокращение	узы — множественное слова узы; EPS — прибыль на акцию
afp	фаз	AFP	слово	сокращение	фаз — форма слова фаза; AFP — агентство AFP
ofc	щас	ofc	слово	сокращение	щас — разговорное сейчас; ofc — of course
gun	ПГТ	gun	сокращение	слово	ПГТ — поселок городского типа; gun — оружие
ver	мук	ver	слово	сокращение	мук — форма слова мука; ver — version
key	лун	key	слово	слово	лун — форма слова луна; key — ключ
lng	ДТП	LNG	сокращение	сокращение	ДТП — дорожное происшествие; LNG — сжиженный газ
rev	кум	Rev	слово	сокращение	кум — крестный отец; Rev — преподобный
lei	душ	lei	слово	код	душ — форма слова душа; lei — румынская валюта
tot	еще	tot	слово	слово	еще — наречие еще; tot — малыш
lev	дум	Lev	слово	имя	дум — форма слова дума; Lev — имя Лев
gen	пут	gen	слово	сокращение	пут — форма слова путы; gen — поколение
rei	куш	REI	слово	имя	куш — выигрыш куш; REI — магазин REI
ita	шеф	ITA	слово	код	шеф — руководитель шеф; ITA — авиакомпания ITA
nsc	тыс	NSC	сокращение	сокращение	тыс — тысяча; NSC — совет безопасности
boe	ищу	BOE	слово	сокращение	ищу — форма глагола искать; BOE — Банк Англии
cath	сфер	Cath	слово	имя	сфер — форма слова сфера; Cath — имя Cath
vue	МГУ	Vue	сокращение	имя	МГУ — Московский госуниверситет; Vue — фреймворк Vue
exe	учу	EXE	слово	код	учу — форма глагола учить; EXE — исполняемый файл
ult	где	ult	слово	сокращение	где — наречие где; ult — ultimate ability
tls	еды	TLS	слово	сокращение	еды — форма слова еда; TLS — защищенный протокол TLS
leif	душа	Leif	слово	имя	душа — душа; Leif — имя Leif
